
==========
== CUDA ==
==========

CUDA Version 12.8.1

Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.

This container image and its contents are governed by the NVIDIA Deep Learning Container License.
By pulling and using the container, you accept the terms and conditions of this license:
https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license

A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.

WARNING: The NVIDIA Driver was not detected.  GPU functionality will not be available.
   Use the NVIDIA Container Toolkit to start this container with GPU support; see
   https://docs.nvidia.com/datacenter/cloud-native/ .

adduser	3.137ubuntu1
apt	2.7.14build2
base-files	13ubuntu10.1
base-passwd	3.6.3build1
bash	5.2.21-2ubuntu4
bsdutils	1:2.39.3-9ubuntu6.2
ca-certificates	20260601~24.04.1
coreutils	9.4-3ubuntu6
cuda-compat-12-8	570.124.06-0ubuntu1
cuda-cudart-12-8	12.8.90-1
cuda-libraries-12-8	12.8.1-1
cuda-nvrtc-12-8	12.8.93-1
cuda-nvtx-12-8	12.8.90-1
cuda-opencl-12-8	12.8.90-1
cuda-toolkit-12-8-config-common	12.8.90-1
cuda-toolkit-12-config-common	12.8.90-1
cuda-toolkit-config-common	12.8.90-1
curl	8.5.0-2ubuntu10.13
dash	0.5.12-6ubuntu5
debconf	1.5.86ubuntu1
debianutils	5.17build1
diffutils	1:3.10-1build1
dirmngr	2.4.4-2ubuntu17
dpkg	1.22.6ubuntu6.1
e2fsprogs	1.47.0-2.4~exp1ubuntu4.1
findutils	4.9.0-5build1
gcc-14-base:amd64	14.2.0-4ubuntu2~24.04.1
gnupg	2.4.4-2ubuntu17
gnupg-utils	2.4.4-2ubuntu17
gnupg2	2.4.4-2ubuntu17
gpg	2.4.4-2ubuntu17
gpg-agent	2.4.4-2ubuntu17
gpgconf	2.4.4-2ubuntu17
gpgsm	2.4.4-2ubuntu17
gpgv	2.4.4-2ubuntu17
grep	3.11-4build1
gzip	1.12-1ubuntu3
hostname	3.23+nmu2ubuntu2
init-system-helpers	1.66ubuntu1
keyboxd	2.4.4-2ubuntu17
libacl1:amd64	2.3.2-1build1.1
libapt-pkg6.0t64:amd64	2.7.14build2
libassuan0:amd64	2.5.6-1build1
libattr1:amd64	1:2.5.2-1build1
libaudit-common	1:3.1.2-2.1build1.1
libaudit1:amd64	1:3.1.2-2.1build1.1
libblkid1:amd64	2.39.3-9ubuntu6.2
libbrotli1:amd64	1.1.0-2build2
libbsd0:amd64	0.12.1-1build1.1
libbz2-1.0:amd64	1.0.8-5.1build0.1
libc-bin	2.39-0ubuntu8.3
libc6:amd64	2.39-0ubuntu8.3
libcap-ng0:amd64	0.8.4-2build2
libcap2:amd64	1:2.66-5ubuntu2
libcom-err2:amd64	1.47.0-2.4~exp1ubuntu4.1
libcrypt1:amd64	1:4.4.36-4build1
libcublas-12-8	12.8.4.1-1
libcufft-12-8	11.3.3.83-1
libcufile-12-8	1.13.1.3-1
libcurand-12-8	10.3.9.90-1
libcurl4t64:amd64	8.5.0-2ubuntu10.13
libcusolver-12-8	11.7.3.90-1
libcusparse-12-8	12.5.8.93-1
libdb5.3t64:amd64	5.3.28+dfsg2-7
libdebconfclient0:amd64	0.271ubuntu3
libdrm-amdgpu1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm-common	2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1:amd64	2.4.125-1ubuntu0.1~24.04.2
libdrm2:amd64	2.4.125-1ubuntu0.1~24.04.2
libedit2:amd64	3.1-20230828-1build1
libelf1t64:amd64	0.190-1.1ubuntu0.1
libexpat1:amd64	2.6.1-2ubuntu0.4
libext2fs2t64:amd64	1.47.0-2.4~exp1ubuntu4.1
libffi8:amd64	3.4.6-1build1
libgbm1:amd64	25.2.8-0ubuntu0.24.04.2
libgcc-s1:amd64	14.2.0-4ubuntu2~24.04.1
libgcrypt20:amd64	1.10.3-2build1
libgl1:amd64	1.7.0-1build1
libgl1-mesa-dri:amd64	25.2.8-0ubuntu0.24.04.2
libglib2.0-0t64:amd64	2.80.0-6ubuntu3.8
libglvnd0:amd64	1.7.0-1build1
libglx-mesa0:amd64	25.2.8-0ubuntu0.24.04.2
libglx0:amd64	1.7.0-1build1
libgmp10:amd64	2:6.3.0+dfsg-2ubuntu6
libgnutls30t64:amd64	3.8.3-1.1ubuntu3.2
libgomp1:amd64	14.2.0-4ubuntu2~24.04.1
libgpg-error0:amd64	1.47-3build2
libgssapi-krb5-2:amd64	1.20.1-6ubuntu2.8
libhogweed6t64:amd64	3.9.1-2.2build1.1
libice6:amd64	2:1.0.10-1build3
libicu74:amd64	74.2-1ubuntu3.1
libidn2-0:amd64	2.3.7-2build1
libk5crypto3:amd64	1.20.1-6ubuntu2.8
libkeyutils1:amd64	1.6.3-3build1
libkrb5-3:amd64	1.20.1-6ubuntu2.8
libkrb5support0:amd64	1.20.1-6ubuntu2.8
libksba8:amd64	1.6.6-1build1
libldap2:amd64	2.6.7+dfsg-1~exp1ubuntu8.2
libllvm20:amd64	1:20.1.2-0ubuntu1~24.04.3
liblz4-1:amd64	1.9.4-1build1.1
liblzma5:amd64	5.6.1+really5.4.5-1build0.1
libmd0:amd64	1.1.0-2build1
libmount1:amd64	2.39.3-9ubuntu6.2
libnccl2	2.25.1-1+cuda12.8
libncursesw6:amd64	6.4+20240113-1ubuntu2
libnettle8t64:amd64	3.9.1-2.2build1.1
libnghttp2-14:amd64	1.59.0-1ubuntu0.4
libnpp-12-8	12.3.3.100-1
libnpth0t64:amd64	1.6-3.1build1
libnvfatbin-12-8	12.8.90-1
libnvjitlink-12-8	12.8.93-1
libnvjpeg-12-8	12.3.5.92-1
libp11-kit0:amd64	0.25.3-4ubuntu2.1
libpam-modules:amd64	1.5.3-5ubuntu5.1
libpam-modules-bin	1.5.3-5ubuntu5.1
libpam-runtime	1.5.3-5ubuntu5.1
libpam0g:amd64	1.5.3-5ubuntu5.1
libpciaccess0:amd64	0.17-3ubuntu0.24.04.2
libpcre2-8-0:amd64	10.42-4ubuntu2
libproc2-0:amd64	2:4.0.4-4ubuntu3.2
libpsl5t64:amd64	0.21.2-1.1build1
libreadline8t64:amd64	8.2-4build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libseccomp2:amd64	2.5.5-1ubuntu3.1
libselinux1:amd64	3.5-2ubuntu2
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsensors-config	1:3.6.0-9build1
libsensors5:amd64	1:3.6.0-9build1
libsepol2:amd64	3.5-2build1
libsm6:amd64	2:1.2.3-1build3
libsmartcols1:amd64	2.39.3-9ubuntu6.2
libsqlite3-0:amd64	3.45.1-1ubuntu2.1
